raw_designation,normalized_term,pad_category,source_section,source_page,status,notes
CRUSTACES NDA,crustaces nda,P01,2.3.1,9,new,
THONIDES,thonides,P02,2.3.1,9,new,
CRABES,crabes,P03,2.3.1,9,new,
CREVETTES DE FONDS,crevettes de fonds,P03,2.3.1,9,new,
"MOLLUSQUES, ROUGETS, POISSONS PLATS",mollusques rougets poissons plats,P03,2.3.1,9,new,
"SARDINELLES, CHINCHARD, MAQUEREAU",sardinelles chinchard maquereau,P04,2.3.1,9,new,
PRODUITS DE PECHE NDA,produits de peche nda,P05,2.3.1,9,new,
APPAREILS SCIENTIFIQUES ET MATERIEL DE LABORATOIRE,appareils scientifiques et materiel de laboratoire,T01,2.3.3,23,new,
APPAREILS SCIENTIFIQUES ET MATERIELS DE LABORATOIRE,appareils scientifiques et materiels de laboratoire,T01,2.3.1,15,new,
ARMRURERIE,armrurerie,T01,2.3.1,15,new,
ARMURERIE,armurerie,T01,2.3.2,16,new,
"AUTRE TABAC, CIGARETTES, CIGARES, ET FILTRES",autre tabac cigarettes cigares et filtres,T01,2.3.1,9,new,
BIJOUTERIE SAUF BIJOUTERIE FANTAISIE,bijouterie sauf bijouterie fantaisie,T01,2.3.2,16,new,
BOISSONS ALCOOLISEES SAUF VIN <= 13°,boissons alcoolisees sauf vin 13,T01,2.3.1,9,new,
CINEMA/ FILM ET APPAREIL,cinema film et appareil,T01,2.3.2,17,new,
CONTENANT AUCUN PRODUIT DE CAT.,contenant aucun produit de cat,T01,2.3.3,29,new,
CONTENEURS DE GROUPAGE IMPORT DE DIVERSES,conteneurs de groupage import de diverses,T01,2.3.1,15,new,
"ELECTROPHONES, CHAINES HI-FI",electrophones chaines hifi,T01,2.3.1,14,new,
EXPLOISIFS,exploisifs,T01,2.3.2,20,new,
HORLOGERIE,horlogerie,T01,2.3.1,15,new,
INSTRUMENTS DE MESURE,instruments de mesure,T01,2.3.1,14,new,
INSTRUMENTS DE MUSIQUE,instruments de musique,T01,2.3.2,19,new,
MACHINE A CALCULER,machine a calculer,T01,2.3.1,15,new,
MACHINES A CALCULER,machines a calculer,T01,2.3.2,19,new,
"MAGNETOPHONES, MAGNETOSCOPES, TV",magnetophones magnetoscopes tv,T01,2.3.1,14,new,
"MAT. INFORMATIQUE, ORDINATEURS",mat informatique ordinateurs,T01,2.3.2,19,new,
MATERIEL DE PHOTOCOPIEUSE ET DE REPROGRAPHIE,materiel de photocopieuse et de reprographie,T01,2.3.1,15,new,
"MATERIEL PHOTOGRAPHIQUE, APPAREILS PHOTOS ET PELLICULES",materiel photographique appareils photos et pellicules,T01,2.3.2,19,new,
"MATERIELS INFORMATIQUES, ORDINATEURS",materiels informatiques ordinateurs,T01,2.3.1,15,new,
"MATERIELS PHOTOGRAPHIQUES, APPAREILS PHOTOS ET PELLICULES",materiels photographiques appareils photos et pellicules,T01,2.3.3,23,new,
"MOBILIERS, AMEUBLEMENT",mobiliers ameublement,T01,2.3.1,15,new,
MONNAIE ET BILLETS DE BANQUE,monnaie et billets de banque,T01,2.3.1,15,new,
MUNITIONS NDA,munitions nda,T01,2.3.1,15,new,
"MUNITIONS POUR CHASSE ET SPORT NDA, PYROTECHNIE, EXPLOISIFS",munitions pour chasse et sport nda pyrotechnie exploisifs,T01,2.3.3,23,new,
"OPTIQUE, LUNETTERIE, ARTICLES POUR FUMEURS",optique lunetterie articles pour fumeurs,T01,2.3.1,15,new,
"PERLES, PIERRES PRECIEUX",perles pierres precieux,T01,2.3.2,20,new,
RADIO EMETTEUR ET APARAILS METEO,radio emetteur et aparails meteo,T01,2.3.1,14,new,
RADIO EMETTEUR ET APPAREILS METEO,radio emetteur et appareils meteo,T01,2.3.2,21,new,
SPORT,sport,T01,2.3.1,13,conflict,"Conflit: sport → T01, T02"
TABAC EN FEUILLE (MAT 1 ére),tabac en feuille mat 1 ere,T01,2.3.1,9,new,
TABAC EN FEUILLE (MAT 1ére),tabac en feuille mat 1ere,T01,2.3.2,22,new,
TELEPHONE ET ACCESSOIRES,telephone et accessoires,T01,2.3.1,14,new,
TELEVISIONS ET ACCESSOIRES,televisions et accessoires,T01,2.3.1,14,new,
VIN ET BOISSONS ALCOOLISEES > 13°,vin et boissons alcoolisees 13,T01,2.3.3,23,new,
VINS < = 13° NDA,vins 13 nda,T01,2.3.1,9,new,
VINS ET BOISSONS ALCOOLISEES >13°,vins et boissons alcoolisees 13,T01,2.3.2,22,new,
ANIMAUX VIVANTS,animaux vivants,T02,2.3.1,8,new,
APPAREIL ELECTRO-MENAGERS ET CLIMATISEURS,appareil electromenagers et climatiseurs,T02,2.3.1,14,new,
APPAREILS ELECTRO-MENAGERS ET CLIMATISEURS,appareils electromenagers et climatiseurs,T02,2.3.2,16,new,
APPAREILS MENAGERS NON ELECTRIQUES,appareils menagers non electriques,T02,2.3.1,14,new,
ARTICLES MAT. PECHE & CHASSE,articles mat peche chasse,T02,2.3.1,15,new,
ARTICLES METALLIQUES NDA,articles metalliques nda,T02,2.3.1,14,new,
AVITAILLEMENTS HOTEL,avitaillements hotel,T02,2.3.1,9,new,
"BAGAGES, EFFETS PERSONNELS",bagages effets personnels,T02,2.3.1,15,new,
BANANES,bananes,T02,2.3.1,8,new,
BEURRE FROAMGE ET AUTRES PRODUITS LAITIERS NDA,beurre froamge et autres produits laitiers nda,T02,2.3.1,9,new,
BEURRE FROMAGE ET AUTRES PRODUITS LAITIERS NDA,beurre fromage et autres produits laitiers nda,T02,2.3.3,24,new,
BICYCLETTES ET ACCESSOIRES,bicyclettes et accessoires,T02,2.3.1,14,new,
BOISSONS ACOOLISEES SAUF < = 13°,boissons acoolisees sauf 13,T02,2.3.3,24,new,
