bl_term,normalized_term,pad_category,commodity_category_code,is_validated,source_type,source_document,source_section,source_page,source_refs,status,notes
CRUSTACES NDA,crustaces nda,P01,P01,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,10,2.3.1:p10; 2.3.2:p19; 2.3.3:p24,injectable,
THONIDES,thonides,P02,P02,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,10,2.3.1:p10; 2.3.2:p23; 2.3.3:p24,injectable,
CRABES,crabes,P03,P03,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,10,2.3.1:p10; 2.3.2:p19; 2.3.3:p24,injectable,
CREVETTES DE FONDS,crevettes de fonds,P03,P03,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,10,2.3.1:p10; 2.3.2:p19; 2.3.3:p24,injectable,
"MOLLUSQUES, ROUGETS, POISSONS PLATS",mollusques rougets poissons plats,P03,P03,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,10,2.3.1:p10; 2.3.2:p21,injectable,
"MULLUSQUES, ROUGERS, POISSONS PLATS",mullusques rougers poissons plats,P03,P03,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.3,24,2.3.3:p24,injectable,
"SARDINELLES, CHINCHARD, MAQUEREAU",sardinelles chinchard maquereau,P04,P04,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,10,2.3.1:p10; 2.3.2:p22; 2.3.3:p24,injectable,
PRODUITS DE PECHE NDA,produits de peche nda,P05,P05,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,10,2.3.1:p10; 2.3.2:p22; 2.3.3:p24,injectable,
APPAREILS SCIENTIFIQUES ET MATERIEL DE LABORATOIRE,appareils scientifiques et materiel de laboratoire,T01,T01,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.3,24,2.3.3:p24,injectable,
APPAREILS SCIENTIFIQUES ET MATERIELS DE LABORATOIRE,appareils scientifiques et materiels de laboratoire,T01,T01,true,official_nomenclature,REDEVANCES_PORTUAIRES_2006.pdf,2.3.1,16,2.3.1:p16; 2.3.2:p17,injectable,
