raw_designation,normalized_term,pad_category,source_section,source_page,status,exclusion_reason
RIZ,riz,T05,2.3.1,8,already_exists,Alias déjà existant en base (seed Phase PAD-1)
SPORT,sport,T01,2.3.1,13,conflict,"Conflit: sport → T01, T02"
SPORT,sport,T02,2.3.2,21,conflict,"Conflit: sport → T01, T02"
ALCOOL INDUSTRIEL,alcool industriel,T07,2.3.2,16,conflict,"Conflit: alcool industriel → T07, T12"
ALCOOL INDUSTRIEL,alcool industriel,T12,2.3.3,28,conflict,"Conflit: alcool industriel → T07, T12"
AMONIAC,amoniac,T06,2.3.1,13,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
BUTANE EN VRAC,butane en vrac,T06,2.3.1,10,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
DIESEL OIL,diesel oil,T06,2.3.1,10,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
FUEL OIL,fuel oil,T06,2.3.1,10,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
GASOIL,gasoil,T06,2.3.1,10,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
PHOSPHATES D’ALLUMINE,phosphates dallumine,T06,2.3.2,20,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
PHOSPHATES D’ALUMINE,phosphates dalumine,T06,2.3.1,12,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
PHOSPHATES DE CALCIUM,phosphates de calcium,T06,2.3.1,12,new,Catégorie T06 absente de commodity_categories (hors périmètre actuel)
ATTAPULGITE,attapulgite,T08,2.3.1,11,new,Catégorie T08 absente de commodity_categories (hors périmètre actuel)
CELLULOSE ET PATE A PAPIER,cellulose et pate a papier,T08,2.3.1,13,new,Catégorie T08 absente de commodity_categories (hors périmètre actuel)
DECHET DE PAPIER ET VIEUX JOURNAUX,dechet de papier et vieux journaux,T08,2.3.1,13,new,Catégorie T08 absente de commodity_categories (hors périmètre actuel)
FERAILLES HORS USAGE,ferailles hors usage,T08,2.3.1,11,new,Catégorie T08 absente de commodity_categories (hors périmètre actuel)
PHOSPHATES NDA,phosphates nda,T08,2.3.1,12,new,Catégorie T08 absente de commodity_categories (hors périmètre actuel)
PHOSPHATES ORIGINE LOCALE NDA,phosphates origine locale nda,T08,2.3.1,12,new,Catégorie T08 absente de commodity_categories (hors périmètre actuel)
TOURTEREAUX D’ARACHIDE,tourtereaux darachide,T08,2.3.2,22,new,Catégorie T08 absente de commodity_categories (hors périmètre actuel)
SEL DE PRODUCTION LOCALE,sel de production locale,T10,2.3.1,11,new,Catégorie T10 absente de commodity_categories (hors périmètre actuel)
BASE PARFUM,base parfum,T11,2.3.1,13,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
"BITUMES EN FUITS, EN SAC",bitumes en fuits en sac,T11,2.3.1,11,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
"BITUMES EN FUTS, EN SAC",bitumes en futs en sac,T11,2.3.2,17,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
BITUMES EN VRAC,bitumes en vrac,T11,2.3.1,11,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
DECHETS NON FERREUX,dechets non ferreux,T11,2.3.1,11,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
ESSENCE AUTO,essence auto,T11,2.3.1,10,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
ESSENCE AVION,essence avion,T11,2.3.1,10,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
HYDROCARBURES RAFFINEES NDA,hydrocarbures raffinees nda,T11,2.3.1,10,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
PETROLE BRUT,petrole brut,T11,2.3.1,10,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
PETROLE LAMPANT,petrole lampant,T11,2.3.1,10,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
PRODUITS ENERGITIQUES GAZEUX NDA,produits energitiques gazeux nda,T11,2.3.2,21,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
PRODUITS NERGITIQUES GAZEUX NDA,produits nergitiques gazeux nda,T11,2.3.1,10,new,Catégorie T11 absente de commodity_categories (hors périmètre actuel)
