raw_designation,normalized_term,pad_category,source_section,source_page,status,commodity_category_present,tariff_confirmed_by_smoke_test,injection_note
CRUSTACES NDA,crustaces nda,P01,2.3.1,9,new,True,False,Catégorie P01 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
THONIDES,thonides,P02,2.3.1,9,new,True,False,Catégorie P02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CRABES,crabes,P03,2.3.1,9,new,True,False,Catégorie P03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CREVETTES DE FONDS,crevettes de fonds,P03,2.3.1,9,new,True,False,Catégorie P03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"MOLLUSQUES, ROUGETS, POISSONS PLATS",mollusques rougets poissons plats,P03,2.3.1,9,new,True,False,Catégorie P03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"SARDINELLES, CHINCHARD, MAQUEREAU",sardinelles chinchard maquereau,P04,2.3.1,9,new,True,False,Catégorie P04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PRODUITS DE PECHE NDA,produits de peche nda,P05,2.3.1,9,new,True,False,Catégorie P05 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
APPAREILS SCIENTIFIQUES ET MATERIEL DE LABORATOIRE,appareils scientifiques et materiel de laboratoire,T01,2.3.3,23,new,True,True,OK — catégorie confirmée par smoke test
APPAREILS SCIENTIFIQUES ET MATERIELS DE LABORATOIRE,appareils scientifiques et materiels de laboratoire,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
ARMRURERIE,armrurerie,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
ARMURERIE,armurerie,T01,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
"AUTRE TABAC, CIGARETTES, CIGARES, ET FILTRES",autre tabac cigarettes cigares et filtres,T01,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
BIJOUTERIE SAUF BIJOUTERIE FANTAISIE,bijouterie sauf bijouterie fantaisie,T01,2.3.2,16,new,True,True,OK — catégorie confirmée par smoke test
BOISSONS ALCOOLISEES SAUF VIN <= 13°,boissons alcoolisees sauf vin 13,T01,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
CINEMA/ FILM ET APPAREIL,cinema film et appareil,T01,2.3.2,17,new,True,True,OK — catégorie confirmée par smoke test
CONTENANT AUCUN PRODUIT DE CAT.,contenant aucun produit de cat,T01,2.3.3,29,new,True,True,OK — catégorie confirmée par smoke test
CONTENEURS DE GROUPAGE IMPORT DE DIVERSES,conteneurs de groupage import de diverses,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
"ELECTROPHONES, CHAINES HI-FI",electrophones chaines hifi,T01,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
EXPLOISIFS,exploisifs,T01,2.3.2,20,new,True,True,OK — catégorie confirmée par smoke test
HORLOGERIE,horlogerie,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
INSTRUMENTS DE MESURE,instruments de mesure,T01,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
