nst_level,nst_code,nst_label,pad_category,pad_category_label,confidence,evidence_level,validation_status,requires_operator_validation,notes,source_document,source_reference
division,01,"Products of agriculture, hunting, and forestry; fish and other fishing products",P05,Produits de pêche non dénommés ailleurs,0.3,expert_rule,candidate,True,"Division 01 inclut 'fish and other fishing products' (groupe 01.B). P05 = produits de peche NDA, categorie par defaut pour la peche non specifiee. Conflit avec T02/T03/T05 pour les produits agricoles non-peche.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,01,"Products of agriculture, hunting, and forestry; fish and other fishing products",T02,Marchandises générales,0.3,expert_rule,candidate,True,"Division 01 couvre agriculture, chasse, foret et peche. Les produits agricoles bruts (hors cereales/riz) sont des marchandises generales au sens PAD. Ambiguite forte : la division couvre aussi la peche (P01-P05). Confidence faible car la division est trop large pour un seul PAD.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,02,Coal and lignite; crude petroleum and natural gas,T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.35,expert_rule,candidate,True,"Division 02 inclut charbon et lignite (02.1). T07 = clinker, farine, charbon, sable et vracs pondereux. Le charbon est explicitement dans le label T07. Candidate secondaire derriere T11 pour les hydrocarbures liquides.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,02,Coal and lignite; crude petroleum and natural gas,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.45,expert_rule,candidate,True,"Division 02 = charbon, petrole brut, gaz naturel. T11 = petrole brut, essences, bitumes, hydrocarbures raffines. Le petrole brut (02.2) correspond directement a T11. Le charbon (02.1) pourrait relever de T07 (charbon, vracs pondereux). Confidence moyenne car charbon et gaz creent une ambiguite.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,03,Metal ores and other mining and quarrying products; peat; uranium and thorium ores,T03,"Acides, sucres et matières premières",0.4,expert_rule,candidate,True,"Division 03 = minerais metalliques, produits miniers. T03 = acides, sucres et matieres premieres. Les minerais sont des matieres premieres brutes. Ambiguite avec T08 (phosphates, ferrailles) pour certains minerais specifiques.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,03,Metal ores and other mining and quarrying products; peat; uranium and thorium ores,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.35,expert_rule,candidate,True,"Division 03 inclut les mineraux fertilisants (03.3) et le sel (03.4). T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les phosphates et mineraux fertilisants correspondent a T08. Candidate secondaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,04,"Food products, beverages and tobacco",T02,Marchandises générales,0.4,expert_rule,candidate,True,"Division 04 = produits alimentaires, boissons, tabac. T02 = marchandises generales. Les denrees alimentaires transformees sont classees marchandises generales dans la pratique PAD Dakar. Ambiguite avec T01 pour les boissons alcoolisees (alias PAD existant sous T01) et T05 pour les farines/cereales transformees.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,04,"Food products, beverages and tobacco",T05,"Céréales, ciment, riz et produits assimilés",0.35,expert_rule,candidate,True,"Division 04 inclut les farines et amidons (04.6). T05 = cereales, ciment, riz et produits assimiles. Les produits cerealiers transformes (farines) se rapprochent de T05. Candidate secondaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,05,Textiles and textile products; leather and leather products,T02,Marchandises générales,0.3,expert_rule,candidate,True,"Division 05 = textiles et cuir. T02 = marchandises generales. Certains textiles bruts ou en vrac pourraient relever de T02 plutot que T12. Candidate secondaire, depend du degre de transformation.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,05,Textiles and textile products; leather and leather products,T12,Matériaux et produits manufacturés,0.4,expert_rule,candidate,True,"Division 05 = textiles, cuir. T12 = materiaux et produits manufactures. Les textiles et articles en cuir sont des produits manufactures au sens PAD. Ambiguite possible avec T02 (marchandises generales) pour les textiles bruts.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
