confidence;created_at;evidence_level;id;is_active;notes;nst_code;nst_level;pad_category;requires_operator_validation;source_document;source_reference;updated_at;validation_status
0.5;2026-05-07 22:07:55.013958+00;expert_rule;7c82985d-2955-4bf5-8fbd-a09b511637be;true;Division 01 inclut 'fish and other fishing products' (groupe 01.B). P05 = produits de peche NDA, categorie par defaut pour la peche non specifiee. Conflit avec T02/T03/T05 pour les produits agricoles non-peche. | [AUDIT-R1] P05 pertinent uniquement pour le sous-groupe peche (01.B). La division est trop large pour un seul PAD. Conserver comme candidat secondaire peche.;01;division;P05;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;b3a7762f-2314-4716-b36f-7effda3721c4;true;Division 02 inclut charbon et lignite (02.1). T07 = clinker, farine, charbon, sable et vracs pondereux. Le charbon est explicitement dans le label T07. Candidate secondaire derriere T11 pour les hydrocarbures liquides. | [AUDIT-R1] T07 pertinent pour le charbon (02.1) mais pas pour le pétrole (02.2) ni le gaz (02.3). Division trop hétérogène. Conserver comme candidat secondaire charbon.;02;division;T07;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;bef017b0-3d76-4d8b-89b2-776c249f069d;true;Division 02 = charbon, petrole brut, gaz naturel. T11 = petrole brut, essences, bitumes, hydrocarbures raffines. Le petrole brut (02.2) correspond directement a T11. Le charbon (02.1) pourrait relever de T07 (charbon, vracs pondereux). Confidence moyenne car charbon et gaz creent une ambiguite. | [AUDIT-R1] T11 pertinent pour pétrole brut (02.2) mais pas pour charbon (02.1). Les groupes 02.x ont des règles plus précises. Conserver car le pétrole domine le trafic.;02;division;T11;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;25c2310b-171a-4c7c-8ed1-773bb851fd84;true;Division 03 = minerais metalliques, produits miniers. T03 = acides, sucres et matieres premieres. Les minerais sont des matieres premieres brutes. Ambiguite avec T08 (phosphates, ferrailles) pour certains minerais specifiques. | [AUDIT-R1] T03 'matières premières' pertinent pour minerais (03.1, 03.2) mais la division inclut aussi sel (T10), sable (T07), phosphates (T08). Trop large.;03;division;T03;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.45;2026-05-07 22:07:55.013958+00;expert_rule;f67926ff-40e5-4c5a-b70f-25e75f73d696;true;Division 03 inclut les mineraux fertilisants (03.3) et le sel (03.4). T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les phosphates et mineraux fertilisants correspondent a T08. Candidate secondaire. | [AUDIT-R1] T08 pertinent pour phosphates (03.3) uniquement. Confidence baissée car secondaire au niveau division. Les groupes 03.x sont plus précis.;03;division;T08;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;0101089a-687f-48f6-a692-c4f02f5bf2bf;true;Division 04 = produits alimentaires, boissons, tabac. T02 = marchandises generales. Les denrees alimentaires transformees sont classees marchandises generales dans la pratique PAD Dakar. Ambiguite avec T01 pour les boissons alcoolisees (alias PAD existant sous T01) et T05 pour les farines/cereales transformees. | [AUDIT-R1] T02 par défaut pour les denrées alimentaires transformées. Ambiguïté avec T01 (boissons alcoolisées), T05 (farines/céréales). Accepté comme candidat principal par défaut.;04;division;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;d06c74e2-a928-4825-8c6b-41c211b32aac;true;Division 05 = textiles, cuir. T12 = materiaux et produits manufactures. Les textiles et articles en cuir sont des produits manufactures au sens PAD. Ambiguite possible avec T02 (marchandises generales) pour les textiles bruts. | [AUDIT-R1] T12 pertinent pour textiles et cuir manufacturés. Confidence acceptable au niveau division. Cohérent avec les règles group-level 05.x→T12.;05;division;T12;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.75;2026-05-07 22:07:55.013958+00;expert_rule;be883956-68be-4e0d-b9a1-69deb4761e16;true;Division 06 = bois, liege, papier. T04 = bois et produits divers. Le bois et ses derives correspondent directement au label T04. Confidence raisonnable car le label PAD est explicite. | [AUDIT-R1] Match direct : label PAD T04 = 'Bois et produits divers'. Division 06 = bois, liège, papier. Le bois est explicitement dans le label T04.;06;division;T04;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.75;2026-05-07 22:07:55.013958+00;expert_rule;2251930c-91f6-4b04-b6c0-49d80ded1f39;true;Division 07 = coke et produits petroliers raffines. T11 = petrole brut, essences, bitumes, hydrocarbures raffines. Correspondance directe entre produits petroliers raffines et le label T11. Meilleur match division-level du manifeste. | [AUDIT-R1] Match direct : label PAD T11 = 'Pétrole brut, essences, bitumes, hydrocarbures raffinés'. Division 07 = produits pétroliers raffinés. Correspondance explicite.;07;division;T11;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.45;2026-05-07 22:07:55.013958+00;expert_rule;a0ca1588-8a59-4a0a-aa36-593e7871e1a2;true;Division 08 = chimie, plastiques, caoutchouc, combustible nucleaire. T03 = acides, sucres et matieres premieres. Les produits chimiques de base (acides) correspondent a T03. Forte ambiguite : la division couvre aussi les plastiques (T12), les engrais (T08), les produits pharmaceutiques (T02). | [AUDIT-R1] T03 pertinent pour chimie de base (08.1) mais la division couvre aussi plastiques (T12), engrais (T08), pharma (T01). Confidence baissée car trop hétérogène.;08;division;T03;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
