"hs_code","description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0101.21.00.00","Reproducteurs de race pure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0101.29.00.00","Chevaux, ânes, mulets et bardots, vivants. - Autres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0101.30.10.00","Reproducteurs de race pure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0101.30.90.00","Chevaux, ânes, mulets et bardots, vivants. - Autres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0101.90.00.00","Chevaux, ânes, mulets et bardots, vivants. - Autres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0102.21.00.00","Reproducteurs de race pure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0102.29.00.00","Animaux vivants de l’espèce bovine. - Autres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0102.31.00.00","Reproducteurs de race pure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0102.39.00.00","Animaux vivants de l’espèce bovine. - Autres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0102.90.00.00","Animaux vivants de l’espèce bovine. - Autres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0103.10.00.00","Reproducteurs de race pure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0103.91.00.00","D’un poids inférieur à 50 kg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0103.92.00.00","D’un poids égal ou supérieur à 50 kg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0104.10.10.00","Reproducteurs de race pure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
