code;dd;surtaxe;rs;tin;tva;tev;ta;cosec;pcs;t_past;t_para;uemoa;pcc;ref;t_conj;t_ciment;bic;mercurialis
2801100000;5.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
2801200000;5.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
2801300000;5.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
901111400;20.0;0.0;1.0;3.8;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
901111100;20.0;0.0;1.0;3.8;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
814000000;5.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
813500000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
813409000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
813401000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
813300000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
813200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
813100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
812900000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
812100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
811900000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
811200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
811100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
3921900020;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;0.0;0.5;0.0;0.0;0.0;TRUE;FALSE
810900000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
810600000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
810500000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
810400000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
810300000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
810200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
810100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
809400000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
809300000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
809200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
809100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
808200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
808100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
807900000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
807700000;10.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
807200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
807190000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
807110000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
901112590;10.0;0.0;1.0;5.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;FALSE;FALSE
806200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
806100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
805900000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
805500000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
805400000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
805200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
805100000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
804509000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
804501000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
804400000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
804300000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
804200000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
804100000;5.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
803009000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
803002000;20.0;20.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
803001000;20.0;20.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
802909000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
802901000;20.0;0.0;1.0;30.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
802500000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
802400000;20.0;0.0;1.0;0.0;18.0;0.0;0.0;0.4;0.8;0.0;0.0;5.0;0.5;0.0;0.0;0.0;TRUE;FALSE
